data,dataus,headlines,categoria
19/07/2016,07/19/2016,1,Repercussões Neutras
20/07/2016,07/20/2016,1,Repercussões Neutras
30/07/2016,07/30/2016,1,Repercussões Neutras
04/08/2016,08/04/2016,1,Repercussões Neutras
08/08/2016,08/08/2016,1,Repercussões Neutras
15/08/2016,08/15/2016,1,Repercussões Neutras
17/08/2016,08/17/2016,1,Repercussões Neutras
13/05/2016,05/13/2016,1,Repercussões Positivas
17/05/2016,05/17/2016,1,Repercussões Positivas
18/05/2016,05/18/2016,1,Repercussões Positivas
19/05/2016,05/19/2016,1,Repercussões Positivas
23/05/2016,05/23/2016,1,Repercussões Positivas
24/05/2016,05/24/2016,1,Repercussões Positivas
25/05/2016,05/25/2016,1,Repercussões Positivas
08/06/2016,06/08/2016,1,Repercussões Positivas
09/06/2016,06/09/2016,1,Repercussões Positivas
10/06/2016,06/10/2016,1,Repercussões Positivas
13/06/2016,06/13/2016,1,Repercussões Positivas
14/06/2016,06/14/2016,1,Repercussões Positivas
20/06/2016,06/20/2016,1,Repercussões Positivas
30/06/2016,06/30/2016,1,Repercussões Positivas
06/07/2016,07/06/2016,1,Repercussões Positivas
07/07/2016,07/07/2016,1,Repercussões Positivas
16/07/2016,07/16/2016,1,Repercussões Positivas
27/07/2016,07/27/2016,1,Repercussões Positivas
01/08/2016,08/01/2016,1,Repercussões Positivas
04/08/2016,08/04/2016,1,Repercussões Positivas
09/08/2016,08/09/2016,1,Repercussões Positivas
10/08/2016,08/10/2016,1,Repercussões Positivas
12/08/2016,08/12/2016,1,Repercussões Positivas
16/08/2016,08/16/2016,1,Repercussões Positivas
19/08/2016,08/19/2016,1,Repercussões Positivas
